id,language,headline,source,date ,frame
37,English ,israeli shelling of gaza school kills at least 22,BBC,14/10/2024,Health and safety 
38,English ,US gives israel 30 days to boost aid to gaza or risk some military aid cuts,BBC,15/10/2024,External Regulation and Reputation
39,English ,Israel says Hamas leader Sinwar killed during routine Gaza patrol,BBC,18/10/2024,Security and defense
40,English ,"Dozens reported killed in Israeli strike on northern Gaza, as Israel says PM's home targeted by drone",BBC,19/10/2024,Security and defense
41,English ,"Arrest warrents issued for Netanyahu, Galant and Hamas commander over alleged war crimes",BBC,22/11/2024,Constitutionality and Jurisprudence
42,English ,Israel investigates as Hamas says female hostage killed,BBC,24/11/2024,"Law and Order, Crime and Justice"
43,English ,"Last bone surgeon in northern Gaza killed, Palestinians say",BBC,13/12/2024,Health and safety 
44,English ,"Gaza ceasefire talks 90% complete, Palestinian official tells BBC",BBC,22/12/2024,Political
45,English ,Hamas lists 34 hostages it may free under ceasefire,BBC,06/01/2025,Policy Prescription and Evaluation
46,English ,"Gaza war death toll could be significantly higher, researchers say",BBC,10/01/2025,Health and safety 
47,English ,Bowen : long-overdue ceasefire may stop the killing but won't end the conflict,BBC,15/01/2025,Policy Prescription and Evaluation
48,English ,Israel and Hamas reach Gaza ceasefire and hostage release deal ,BBC,15/01/2025,Political
49,English ,Israel delays vote to approve Gaza ceasefire deal,BBC,16/01/2025,Political
50,English ,Netanyahu issues warning ahead of Gaza ceasefire,BBC,18/01/2025,Security and defense
51,English ,"Three Israeli hostages ""stable"" after being freed, as Palestinian prisoners await release",BBC,19/01/2025,Health and safety 
52,English ,British-Israeli hostage says Hamas held her ay UN facilities,BBC,01/02/2025,"Law and Order, Crime and Justice"
53,English ,"Trump says he wants US to ""take over"" Gaza and resettle Palestinians",BBC,05/02/2025,External Regulation and Reputation
54,English ,"UN chief warns against ""ethnic cleansing"" in Gaza",BBC,06/02/2025,External Regulation and Reputation
55,English ,Hamas releasing three more Israeli hostages under Gaza ceasefire deal ,BBC,08/02/2025,Policy Prescription and Evaluation
56,English ,Israeli hostages and Palestinian inmates freed in latest ceasefire swap,BBC,15/02/2025,Policy Prescription and Evaluation
57,English ,""" I'll be back', Israeli hostage told family - who were then killed",BBC,19/02/2025,Health and safety 
58,English ,Gaza ceasefire deal hits critical moment,BBC,01/03/2025,Political
59,English ,"Aid workers killed in Israeli air strike in Gaza, charity tells BBC",BBC,15/03/2025,Health and safety 
60,English ,Hamas fires rockets at Tel Aviv as Israel renews Gaza ground campaign,BBC,20/03/2025,Security and defense
61,English ,Israeli strike at Gaza hospital kills Hamas official and aide,BBC,23/03/2025,Security and defense
62,English ,Survivor challenges Israeli account of attack on Gaza paramedics ,BBC,03/04/2025,"Law and Order, Crime and Justice"
63,English ,"Israeli strike on Gaza City school kills 27, health ministry says",BBC,04/04/2025,Health and safety 
64,English ,Israel admits mistakes over medic killings in Gaza,BBC,06/04/2025,"Law and Order, Crime and Justice"
65,English ,"As an Israeli hostage turns 48, his wife waits for blue ticks on her messages ",BBC,12/04/2025,Health and safety 
66,English ,Hamas formally rejects Israeli ceasefire offer,BBC,18/04/2025,Political
67,English ,Anti-Hamas protests on rise in Gaza as group's iron grip slips,BBC,24/04/2025,Public opinion
68,English ,Gaza community kitchens warn food is running out after two months of Israeli blockade,BBC,02/05/2025,Capacity and resources
69,English ,Hamas says 'no point' to talks as Israel plans expanded Gaza offensive,BBC,06/05/2025,Political
70,English ,"Israel denying food to Gaza is 'weapon of war', UN Palestinian refugee agency head tells BBC",BBC,13/05/2025,"Law and Order, Crime and Justice"
71,English ,"Israeli strikes in northern Gaza kill at least 48, hospital says",BBC,14/05/2025,Health and safety 
72,English ,"Israeli strike kills nine of Gaza doctor's children, hospital says",BBC,24/05/2025,Health and safety 
73,English ,"26 dead after Israeli tanks open fire near Gaza aid centre, resuers say",BBC,01/06/2025,Health and safety 
74,English ,"Gaza worse than hell on Earth, International aid cross chief tells BBC as aid centres close for a day",BBC,04/06/2025,Quality of life
75,English ,Gaza aid boat with Greta Thunberg onboard diverted by Israeli forces,BBC,09/06/2025,Security and defense
76,English ,"Dozens killed by Israeli fire near Gaza aid sites, Hamas-run ministry says",BBC,17/06/2025,Health and safety 
77,English ,"Israeli strikes at Gaza market kill 18 Palestinians, doctor and witnesses say ",BBC,27/06/2025,Health and safety 
78,English ,Trump says Israel has agreed to condition for 60-day Gaza ceasefire ,BBC,02/07/2025,External Regulation and Reputation
79,English ,Hamas says it delivered 'positive response' on Gaza ceasefire plan,BBC,05/07/2025,Political
80,English ,Israeli defence minister plans to move Gaza's population to camp in Rafah ,BBC,09/07/2025,Policy Prescription and Evaluation
81,English ,Gaza officials say children killed in strike as Israeli military admits 'error',BBC,13/07/2025,"Law and Order, Crime and Justice"
82,English ,"Dozens killed by Israeli gunfire near aid sites in south Gaza, Hamas-run ministry says",BBC,19/07/2025,Health and safety 
83,English ,"Israeli forces kill 67 Palestinians seeking aid in northern Gaza, Hamas-run ministry says",BBC,20/07/2025,Health and safety 
84,English ,UK and 27 other nations condemn Israel over 'inhumane killing' of Gaza civilians seeking aid,BBC,22/07/2025,External Regulation and Reputation
85,English ,"Almost a third of people in Gaza not eating for days, UN food programme warns",BBC,25/07/2025,Quality of life
86,English ,Hamas refuses to disarm until Palestinian state established,BBC,02/08/2025,Political
87,English ,UN official says Israel expanding Gaza operations would risk 'catastrophic consequences',BBC,06/08/2025,External Regulation and Reputation
88,English ,The secret system Hamas uses to pay government salaries,BBC,07/08/2025,Economic
89,English ,Israel's security cabinet approves plan to take control of Gaza city ,BBC,08/08/2025,Political
90,English ,Israel rejects international criticism of Gaza city takeover plan,BBC,09/08/2025,External Regulation and Reputation
91,English ,UN condemns targeted Israeli attack that killed five AL Jazeera journalists ,BBC,11/08/2025,External Regulation and Reputation
92,English ,"Israel calls up 60,000 reservists ahead of planned Gaza City offensive",BBC,20/08/2025,Security and defense
93,English ,"Four journalists among 15 dead in Israeli strike on hospital, Gaza officials say",BBC,25/08/2025,Health and safety 
94,English ,Families demand hostage deal as double Israeli strike on Gaza hospital draws wide condemnation ,BBC,26/08/2025,Public opinion
95,English ,"Hamas spokesman Sbu Obeida killed in Gaza, Israel says",BBC,01/09/2025,Security and defense
96,English ,Hamas releases video of two Israeli hostages held in Gaza,BBC,05/09/2025,"Law and Order, Crime and Justice"
97,English ,Israeli tanks push into major Gaza City residential area,BBC,18/09/2025,Security and defense
98,English ,"Trump peace plan 'ignores interests of Palestinian people', Hamas official tells BBC",BBC,30/09/2025,External Regulation and Reputation
99,English ,Trump tells Israel to stop bombing Gaza as Hamas agrees to release hostages,BBC,03/10/2025,External Regulation and Reputation
100,English ,Mother os Israeli hostage says she still doesn't know if he's alive or dead,BBC,07/10/2025,Health and safety 
101,English ,Israel's Netanyahu: 'We are at war',CNN,07/10/2023,Security and defense
102,English ,Hamas threatens hostages as Israel pounds Gaza,CNN,09/10/2023,Security and defense
103,English ,Some Gaza residents try to flee south after warning from Israel,CNN,13/10/2023,Quality of life
104,English ,2 American hostages being released by Hamas: sources,CNN,20/10/2023,"Law and order, crime and justice"
105,English ,"Israeli forces surroundingg Gaza city, IDF official says",CNN,02/11/2023,Security and defense
106,English ,Israeli forces say they remain active at Gaza's largest hospital,CNN,16/11/2023,Security and defense
107,English ,Hamas seeks to extend truce with Israel ,CNN,26/11/2023,Political 
108,English ,How the latest truce extension went to the wire,CNN,30/11/2023,Political 
109,English ,IDF tells people to evacuate more areas in southern Gaza,CNN,03/12/2023,Security and defense
110,English ,Doctors Without Borders accuses Israeli military of attacking marked evacuation convoy in Gaza,CNN,10/12/2023,Fairness and equality
111,English ,Israel's military claims to have found the biggest Hamas tunnel ,CNN,17/12/2023,Security and defense
112,English ,Doctors accuse IDF troops of atrocities at hospital Israel says was Hamas 'command center',CNN,23/12/2023,"Law and order, crime and justice"
113,English ,"Palestinians will decide Gaza's future,, not Israel, PLO insists",CNN,06/01/2024,Political 
114,English ,Israel exhuming bodies in Gaza to determine if they're hostages,CNN,18/01/2024,"Law and Order, Crime and Justice"
115,English ,"At least 20 people were killed and dozens injured after shelling struck an area near Gaza City where people were awaiting aid delivery, according to the Hamas run health ministry in Gaza",CNN,26/01/2024,Health and safety 
116,English ,CNN video shows Palestinian detainees blindfolded and barefoot,CNN,27/01/2024,"Law and order, crime and justice"
117,English ,Where is Hind? Calls for answers more than a week after rescuers go missing trying to save trapped 6-year-old,CNN,06/02/2024,Health and safety 
118,English ,Israeli forces rescue 2 hostages as airstrikes kill around 100 Palestinians in Rafah,CNN,12/02/2024,Security and defense
119,English ,US proposes a 'temporary ceasefire' in Gaza in draft UN resolution,CNN,19/02/2024,External Regulation and Reputation
120,English ,Aid dropped in the sea by mistake. Video shows how Gazans responded,CNN,27/02/2024,Capacity and resources
121,English ,Biden calls for immediate temporary ceasefire as part of Israel-Hamas hostage deal,CNN,01/03/2024,External Regulation and Reputation
122,English ,"At the edge of Gaza, Israelis try to stop aid trucks ",CNN,09/03/2024,Public opinion
123,English ,The grandmother who wants to lead Israelis back to Gaza without Palestinians ,CNN,20/03/2024,Cultural Identity
124,English ,Devastation in Gaza as Israel wages war on Hamas,CNN,30/03/3024,Quality of Life
125,English ,"Israel targeted aid workers 'systematically,' charity founder says",CNN,04/04/2024,"Law and order, crime and justice"
126,English ,"Israel is preparing for scenarios in locations other than Gaza, Netanyahu warns",CNN,11/04/2024,Security and defense
127,English ,"Nearly 300 bodies found in mass grave at Gaza hospital, says Gaza Civil Defense",CNN,22/04/2024,Health and safety 
128,English ,Netanyahu warns of Rafah operation 'with or without a deal' on ceasefire,CNN,30/04/2024,Security and defense
129,English ,Hamas says it has agreed to Gaza ceasefire proposal,CNN,06/05/2024,Political 
130,English ,Palestinians fleeing Rafah describe fear and despair as Israel seizes key crossing ,CNN,07/05/2024,Quality of Life
131,English ,"Bodies of 3 hostages recovered from Gaza tunnel, Israel says",CNN,17/05/2024,"Law and order, crime and justice"
132,English ,Israeli forces release Hamas video of former child hostage ,CNN,20/05/2024,Security and defense
133,English ,"Dozens killed in Israeli airstrike on UN-run school, Gaza authorities say",CNN,06/06/2024,Health and safety 
134,English ,"Hamas 'punished' hostage in captivity, family says",CNN,12/06/2024,"Law and order, crime and justice"
135,English ,"8 Israeli soldiers killed in Gaza, IDF says",CNN,15/06/2024,Security and defense
136,English ,He saved the Hamas leader's life. Then the group murdered his nephew ,CNN,20/06/2024,"Law and order, crime and justice"
137,English ,Encounters that break down barriers': Meet volunteers driving sick Palestinians to Israeli hospitals and home again,CNN,05/07/2024,Health and safety 
138,English ,"Tomorrow, I kill you:' Rescued hostage details psychological abuse during eight months of Hamas captivity",CNN,12/07/2024,Health and safety 
139,English ,"Israeli attacks kill at least 16 Palestinians, including children, across Gaza",CNN,29/07/2024,Health and safety 
140,English ,Hamas political leader killed in Iran,CNN,31/07/2024,Security and defense
141,English ,These Gazan children have been reunitedwith their families after months of war. But thousands remain unaccompanied,CNN,09/08/2024,Quality of Life
142,English ,"Israeli strike on mosque and school in Gaza kills scores, sparking international outrage",CNN,11/08/2024,External Regulation and Reputation
143,English ,"Bodies of six Israeli hostages retrieved from Gaza, Israel says",CNN,20/08/2024,"Law and order, crime and justice"
144,English ,Israel rescues 52-year-old hostage held by Hamas during 'complex operation' in Gaza,CNN,27/08/2024,Security and defense
145,English ,Huge protests break out across Israel after bodies of 6 slain hostages recovered,CNN,01/09/2024,Public opinion
146,English ,Brutal new Hamas tactics mark a shift in an already brutal war,CNN,03/09/3034,Security and defense
147,English ,"Israeli airstrikes on Gaza school sheltering displaced people kills at least 18, including UN staff, officials say",CNN,12/09/2024,Health and safety 
148,English ,"Slain Israeli hostage held by Hamas in 'inhuman' conditions underneath Gaza, sisters tell CNN",CNN,21/09/2024,Health and safety 
149,English ,Flattened in a year: How Israeli bombardment reduced most of Gaza to rubble,CNN,09/10/2024,Quality of Life
150,English ,US suggests military aid to Israel is at risk in a letter demanding more aid for Gaza,CNN,16/10/2024,External Regulation and Reputation
151,English ,How a routine operation led to Hamas leader's death ,CNN,18/10/2024,Security and defense
152,English ,"Gazans, surrounded by killiing and destruction, say Hamas leader's death will not change anything",CNN,19/10/2024,Quality of Life
153,English ,Israel has long wanted to dismantle the UN's Palestinian refugee agency. The consequences could be disastrous for all ,CNN,03/11/2024,External Regulation and Reputation
154,English ,Saudi crown prince accuses Israel of committing 'collective genocide' in Gaza,CNN,12/11/2024,Policy Prescription and Evaluation
155,English ,Human Rights Watch accuses Israel of mass displacement in Gaza amounting to a war crime,CNN,14/11/2024,"Law and order, crime and justice"
156,English ,Israel investigating after Hamas releases photos purportedly showing body of female hostage,CNN,25/11/2024,"Law and order, crime and justice"
157,English ,Israeli strikes kill at least 200 in Gaza as UN halts aid deliveries after more trucks stolen,CNN,01/12/2024,Health and safety 
158,English ,"Israeli military kills fours doctors in Gaza hospital raid, eyewitnesses say",CNN,06/12/2024,Health and safety 
159,English ,"Hamas and Israel are 'talking seriously' about a hostage and a ceasefire deal in Gaza, source says",CNN,13/12/2024,Political 
160,English ,Palestinian grandfather whose tribute went viral to slain granddaughter went viral is killed by Israeli fire,CNN,17/12/2024,Health and safety 
161,English ,Israeli government pressed to reveal location of detained Gaza hospital chief,CNN,03/01/2025,Fairness and Equality
162,English ,Israel's military releases interrogation video in bid to defend assault on Gaza hospitals,CNN,08/01/2025,Security and defense
163,English ,Israel and Hamas agree to a ceasefire and hostage deal,CNN,15/01/2025,Political 
164,English ,Gaza ceasefire brings hope but aid workers warn of major hurdles ahead,CNN,20/01/2025,Policy Prescription and Evaluation
165,English ,Arab nations reject Trump's call to relocate Gazans to neighboring countries,CNN,02/02/2025,External Regulation and Reputation
166,English ,Trump says 'US will take over the Gaza strip',CNN,05/02/2025,External Regulation and Reputation
167,English ,Israel delays release of hundreds of Palestinian detainees following recovery of six Israeli hostages from Gaza,CNN,22/02/2025,"Law and order, crime and justice"
168,English ,Coffins said to contain hostages' bodies arrive in Israel and Palestinian prisoners freed as Gaza truce nears expiry,CNN,27/02/2025,"Law and order, crime and justice"
169,English ,Israel says it will block aid going into Gaza until Hamas agrees to ceasefire extension,CNN,02/03/2025,Policy Prescription and Evaluation
170,English ,Israel cuts electricity to last facility in Gaza receiving Israeli power,CNN,09/03/2025,Capacity and resources
171,English ,Israel says it will maintain 'permanent' presence in Gaza unless hostages are freed,CNN,21/03/2025,Security and defense
172,English ,Deadly Israeli strikes mar Gaza Eid celebrations as Netanyahu says pressure on Hamas is 'working',CNN,30/03/2025,Cultural Identity
173,English ,Netanyahu says Israel is now dividing up Gaza. What does that mean on the ground?,CNN,04/04/2025,Political 
174,English ,Video showing final moments of Gaza emergency workers casts doubt on Israeli account of killings.,CNN,05/04/2025,"Law and order, crime and justice"
175,English ,Israeli soliders reveal systematic destruction of Palestinian property to create Gaza buffer zone,CNN,10/04/2025,Security and defense
176,English ,Israel's Gaza offensive pushes hundreds of thousands of Palestinians into an ever-shrinking bubble,CNN,13/04/2025,Quality of Life
177,English ,Netanyahu vows to escalate war as plan approved to 'conquer' Gaza,CNN,05/05/2025,Security and defense
178,English ,Israel vows to escalate war with new plan to 'conquer' Gaza,CNN,06/05/2025,Security and defense
179,English ,US admits new aid plan would initially only feed 60% of Gaza,CNN,10/05/2025,Policy prescription and evaluation 
180,English ,"Israel ramps up strikes in Gaza, killing dozens , as Trump floats 'freedom zone'",CNN,15/05/2025,Security and defense
181,English ,"Dozens shot dead and injured near Gaza aid hub, health ministry and doctors day",CNN,01/06/2025,Health and safety 
182,English ,Israel vows to stop aid boat with Greta Thunberg and other activists on board from reaching Gaza,CNN,08/06/2025,Security and defense
183,English ,"An Israeli soldier was taken hostage on October 7, In ceasefire plea, his mother releases video of his brutal capture",CNN,10/06/2025,Health and safety 
184,English ,Hamas submits 'positive response' to 60-day cesefire proposal ,CNN,05/06/2025,Political 
185,English ,"Israel's defense inister plans to relocate displaced Palestinians to restricted area in southern Gaza, Israeli media reports",CNN,09/07/2025,Policy prescription and evaluation 
186,English ,"Children killed collecting water in Gaza, medical officials say, as ceasefire talks hit sticking points",CNN,13/07/2025,Health and safety 
187,English ,"20 killed in crush at Israeli and US-backed aid site in Gaza, group says",CNN,17/07/2025,Health and safety 
188,English ,Gaza starvation warning as aid agencies urge Israel to end blockade ,CNN,24/07/2025,Quality of Life
189,English ,"A viable Palestinian state remains far off, despite growing international clamor",CNN,03/08/2025,Political 
190,English ,"Israeli PM defends plan to seize Gaza city amid criticism from world leaders, Israel's military chief and hostage families",CNN,08/08/2025,Political 
191,English ,Israel says it is in talks with several countries about taking in displaced Palestinians,CNN,14/08/2025,Political 
192,English ,Outrage after Israel kills five journalists in 'double-tap' attack on Gaza hospital,CNN,26/08/2025,Public opinion
193,English ,More than 70 killed in intensified Israeli strikes on Gaza,CNN,15/09/2025,Health and safety 
194,English ,Gaza city residents scramble to flee after heavy bombardment,CNN,16/09/2025,Quality of Life
195,English ,"The move, which Israel condemns, is a concerted effort to pile on pressure for a ceasefire in Gaza",CNN,22/09/2025,Political 
196,English ,Israeli forces push deeper into Gaza City with heavy shelling and explosions reported,CNN,24/09/2025,security and defense
197,English ,Israel's military intercepted Gaza-bound aid ships. Here's what we know,CNN,02/10/2025,security and defense
198,English ,Hamas agrees to negotiate release of all hostages,CNN,04/10/2025,Political 
199,English ,Indirect talks between Israeli and Hamas have begun,CNN,06/10/2025,Political 
200,English ,"October 7 promptsome jews to leave Israel. For others, the country offers shelter from rising global antisemitism",CNN,07/10/2025,Quality of Life
201,English ,World is watching': Fears grow of a huge Gaza invasion by Israel,Al-Jazeera English ,07/10/2023,Security and defense
202,English ,Gaza faces humanitarian catastrophe as power plant remains without fuel,Al-Jazeera English ,11/10/2023,Health and safety 
203,English ,UN says Gaza hospitals' fuel to last 24 hours as families flee Israel raids,Al-Jazeera English ,15/10/2023,Health and safety 
204,English ,Hundreds killed in 'multiple Israeli massacres' in Gaza; two captives freed,Al-Jazeera English ,23/10/2023,Health and safety 
205,English ,Israeli strike hits medical convoy at Gaza hospital gate,Al-Jazeera English ,03/11/2023,Health and safety 
206,English ,Red Crescent says humanitarian aid targeted as Gaza bombardment continues,Al-Jazeera English ,08/11/2023,Health and safety 
207,English ,"Gaza hospitals face Israeli military assault, humanitarian disaster",Al-Jazeera English ,16/11/2023,Health and safety 
208,English ,Israel-Hamas truce comes into effect: How it could now unfold,Al-Jazeera English ,24/11/2023,Political
209,English ,Searching for survivors after Israeli attack on central Gaza building,Al-Jazeera English ,05/12/2024,Health and safety 
210,English ,"Netanyahu thanks US for support, weapons amid pressure to end war on Gaza",Al-Jazeera English ,14/12/2024,Political
211,English ,More than 200 killed in Gaza in 24 hours as Israel continues attacks,Al-Jazeera English ,23/12/2023,Health and safety 
212,English ,Entire family gone': Israel kills 250 Palestinians in 24 hours,Al-Jazeera English ,25/12/2023,Health and safety 
213,English ,Palestinians flee Nuseirat refugee camp once again amid attacks,Al-Jazeera English ,04/01/2024,Quality of life
214,English ,UN humanitarian chief says Gaza will soon be 'uninhabitable',Al-Jazeera English ,05/01/2024,Quality of life
215,English ,Fuel runs out at Al-Aqsa Hospital putting patients at risk,Al-Jazeera English ,12/01/2024,Capacity and resources
216,English ,"Israeli attacks on Gaza shelters a 'pattern', says UN",Al-Jazeera English ,25/01/2024,"Law and Order, Crime and Justice"
217,English ,"Israel says Rafah, where displaced are sheltering, army's next target",Al-Jazeera English ,01/02/2024,Security and defense
218,English ,Netanyahu orders military to submit action plan for Rafah assualt,Al-Jazeera English ,10/02/2024,Security and defense
219,English ,Palestinians flee as Israel orders evacuation of besieged Nasser Hospital,Al-Jazeera English ,14/02/2024,Quality of life
220,English ,"Israeli strike on Deir el-Balah kills at least 24, mostly women, children",Al-Jazeera English ,23/02/2024,Health and safety 
221,English ,Horrific massacare': Israel launches fresh attacks on Gaza aid seekers,Al-Jazeera English ,04/03/2024,Health and safety 
222,English ,Israel suggests pushing Gaza civilians in Rafah into 'humanitarian islands',Al-Jazeera English ,13/03/2024,Policy Prescription and Evaluation
223,English ,World must not turn its back' on Gaza as Israel readies Rafah inavsion: UN,Al-Jazeera English ,21/03/2024,Public opinion
224,English ,Israel claims senior Hamas commander Marwan Issa killed in Gaza strike,Al-Jazeera English ,26/03/2024,Security and defense
225,English ,Five aid workers killed in Israeli strike after food delivery: Media office,Al-Jazeera English ,02/04/2024,Health and safety 
226,English ,"Israeli air attack on Gaza kills sons, grandchildren of Hamas chief Haniyeh",Al-Jazeera English ,10/04/2024,Health and safety 
227,English ,Nearly 200 bodies retrieved from hospital mass grave in Khan Younis,Al-Jazeera English ,21/04/2024,Health and safety 
228,English ,Five killed in Israeli attacks on Gaza as students antiwar protests spread,Al-Jazeera English ,27/04/2024,Public opinion
229,English ,Full-blown famine' in northern Gaza with truce talks ongoing in Egypt,Al-Jazeera English ,04/05/2024,Health and safety 
230,English ,Gaza war: Heavy fighting in Rafah as Hamas attacks Israeli troops and tanks,Al-Jazeera English ,09/05/2024,Security and defense
231,English ,"Shame on the world': Israel tanks, jets 'wipe out everything' in Jabalia",Al-Jazeera English ,17/05/2024,Morality
232,English ,Rafah is on fire' as Israel's deadly attacks intensify on south Gaza city ,Al-Jazeera English ,29/05/2024,Security and defense
233,English ,Fifty bodies recovered from Jabalia amid nonstop Israeli bombing of Gaza,Al-Jazeera English ,02/06/2024,Health and safety 
234,English ,Death toll from Israeli attacks on Gaza's Nuseirat camp rises to 210,Al-Jazeera English ,08/06/2024,Health and safety 
235,English ,"Israeli attacks kill 25 as Gaza gov't warns 3,500 children at risk of dying",Al-Jazeera English ,18/06/2024,Health and safety 
236,English ,"Four Israeli soldiers killed amid fierce battles in Shujayea, media reports",Al-Jazeera English ,28/06/2024,Security and defense
237,English ,Israeli army orders 'immediate' evacuation from Khan Younis,Al-Jazeera English ,01/07/2024,Security and defense
238,English ,Uninhabitable': Gaza City district levelled by Israeli army after invasion ,Al-Jazeera English ,11/07/2024,Quality of life
239,English ,Netanyahu says ceasefire talks to restart as Israeli protestors demand deal,Al-Jazeera English ,21/07/2024,Political 
240,English ,Haniyeh killing 'dangerous escalation' as fears of Gaza war spillover grow,Al-Jazeera English ,31/07/2024,Security and defense
241,English ,Huge massacre': 17 killed in Israeli attacks on Gaza shelter,Al-Jazeera English ,03/08/2024,Health and safety 
242,English ,"Amid deadly assaults, Israel issues new evacuation orders for southern Gaza",Al-Jazeera English ,13/08/2024,Security and defense
243,English ,Palestinian children 'paying heaviest price' as food shortages grip Gaza,Al-Jazeera English ,23/08/2024,Quality of life
244,English ,Israel agrees limited 'humanitarian pauses' for polio vaccinations: WHO ,Al-Jazeera English ,29/08/2024,Policy Prescription and Evaluation
245,English ,Hamas says Gaza captives will return 'in coffins' if Israel continues raids,Al-Jazeera English ,02/09/2024,Political
246,English ,Dozens killed in Israeli attack on tent encampment in southern Gaza,Al-Jazeera English ,09/09/2024,Health and safety 
247,English ,Israel bombs central Gaza again after attack on UN shelter,Al-Jazeera English ,12/09/2024,Security and defense
248,English ,"Israeli bombardment kills dozens across Gaza strip, Civil Defence says ",Al-Jazeera English ,16/09/2024,Health and safety 
249,English ,Israel is deliberately targeting journalists in Gaza,Al-Jazeera English ,23/09/2024,"Law and Order, Crime and Justice"
250,English ,Intense bombardment as Israel launches major ground offensive on Jabalia,Al-Jazeera English ,07/10/2024,Security and defense
251,English ,"Amid siege of northern Gaza, Israeli attack on Jabalia camp kills four",Al-Jazeera English ,14/10/2024,Health and safety 
252,English ,No other land': Palestinian Bedouins forced out under cover of Gaza war,Al-Jazeera English ,21/10/2024,Quality of life
253,English ,"Gaza ceasefire talks resume in Doha, but 'no breakthrough' expected",Al-Jazeera English ,28/10/2024,Political 
254,English ,Six wounded in Israeli attack on Gaza's polio vaccination centre,Al-Jazeera English ,02/11/2024,Health and safety 
255,English ,"Israel strikes flour distribution line, kills 50 across Gaza",Al-Jazeera English ,09/11/2024,Health and safety 
256,English ,Stripped of our human dignity': What it means to be hungry in Gaza,Al-Jazeera English ,16/11/2024,Morality
257,English ,More than 100 Palestinians killed in Israeli attacks on Gaza in 48 hours,Al-Jazeera English ,23/11/2024,Health and safety 
258,English ,"Israel bombs Gaza hospital water tanks, kills 48 Palestinians in a day",Al-Jazeera English ,05/12/2024,Capacity and resources
259,English ,Israel kills 71 Palestinians in Gaza amid renewed diplomatic push for truce,Al-Jazeera English ,12/12/2024,Health and safety 
